175.20267197761007,144.40641756531556
180.,142.5
182.5,141.25
185.,140.
197.5,135.
200.,133.75
202.5,132.5
205.,131.25
207.5,130.
210.,128.75
212.5,127.5
215.,126.25
217.5,125.
220.,122.5
222.5,121.25
225.,120.
230.,117.5
232.5,116.25
235.,113.75
237.5,112.5
240.,111.25
242.5,110.
245.,107.5
247.5,106.25
250.,105.
252.5,103.75
255.,101.25
257.5,100.
260.,98.75
262.5,96.25
265.,95.
267.5,92.5
270.,91.25
272.5,88.75
275.,87.5
277.5,85.
280.,83.75
282.5,81.25
285.,78.75
287.5,77.5
290.,75.
292.5,72.5
295.,71.25
297.5,68.75
300.,66.25
302.5,63.75
305.,61.25
307.5,58.75
310.,56.25
312.5,53.75
315.,51.25
317.5,48.75
320.,46.25
322.5,42.5
325.,40.
327.5,36.25
330.,32.5
332.5,28.75
335.,23.75
337.5,18.75
340.,11.25
342.5,0.
